Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly Salary,min_salary,max_salary,Average Salary,Job state,Company_age
Strategic Insights Partner,USD 78K - USD 130K,4.0,Pfizer,"Tampa, FL",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,78,130,104.0,FL,175.0
Director of Data Science,USD 121K - USD 169K ,3.9,Discount Tire,"Scottsdale, AZ",10000+ Employees,1960,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),0,121,169,145.0,AZ,64.0
Senior Data Specialist- Remote,USD 60K - USD 85K,3.5,Commonwealth of Virginia,"Charlottesville, VA",10000+ Employees,1788,Government,State & Regional Agencies,Government & Public Administration,$25 to $100 million (USD),0,60,85,72.5,VA,236.0
Consumer Analytics Analyst - Remote,USD 67K - USD 100K,3.6,Harley-Davidson,"Milwaukee, WI",5001 to 10000 Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),0,67,100,83.5,WI,121.0
Health Care Economics Analyst I/II,USD 67K - USD 99K ,3.9,Blue Cross of Idaho,"Meridian, ID",501 to 1000 Employees,1945,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $5 billion (USD),0,67,99,83.0,ID,79.0
Data Solutions Analyst II,USD 69K - USD 111K,3.8,CareSource,Remote,1001 to 5000 Employees,1989,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,69,111,90.0,Remote,35.0
Data Scientist,USD 82K - USD 112K ,3.9,Boeing Distribution Services Inc.,"Coppell, TX",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,82,112,97.0,TX,108.0
Data Engineer II,USD 121K - USD 200K,4.2,"The Travelers Companies, Inc.","Atlanta, GA",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,121,200,160.5,GA,171.0
Staff Data Scientist,USD 160K - USD 202K ,4.4,Intuit,"San Diego, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD),0,160,202,181.0,CA,41.0
"Sr. Data Scientist, Business Analytics",USD 141K - USD 178K ,3.6,Tesla,"Fremont, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),0,141,178,159.5,CA,21.0
Health Data Analyst,USD 79K - USD 95K,1.6,Health Share of Oregon,"Portland, OR",1 to 50 Employees,--,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),0,79,95,87.0,OR,
Business Intelligence Analyst - Payment Integrity,USD 90K - USD 130K,3.8,Devoted Health,Remote,1001 to 5000 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,90,130,110.0,Remote,7.0
